"","Max BF","Max BF","Condition","Condition"
"NA","Est","Std.Er","0.03","0.03"
"Intercept","1.9","0.02","-0.08","0.04"
"Sex (m)","0.05","0.06","-0.12","0.07"
"delta S","-0.06","0.05","0.01","0.04"
"Horn length","-0.01","0.06","0.14","0.09"
"SVL","0.37","0.1",NA,NA
"Head length","0.19","0.1",NA,NA
"Sex*Head length","0.78","0.21",NA,NA
"Sex*SVL","-0.51","0.2",NA,NA
"NA",NA,NA,NA,NA
"Intercept","1.9","0.02","0.05","0.03"
"Sex (m)","0.08","0.05","-0.1","0.04"
"delta S","-0.13","0.05","-0.01","0.04"
"Horn length","-0.03","0.06","0.01","0.04"
"SVL","0.36","0.1",NA,NA
"Head length","0.17","0.1",NA,NA
"Sex*Head length","0.82","0.2",NA,NA
"Sex*SVL","-0.55","0.19",NA,NA
